m,n,Re_Z,Im_Z
0,0,0.0696961292194628,-627.019614212324
0,1,0.0696718219160635,84.8114858798929
0,2,0.0695989363363939,146.822834243726
0,3,0.0694775814013456,43.0523501351503
0,4,0.0693079384114653,17.4700659123522
0,5,0.0690902606955422,8.84986730981945
0,6,0.0688248731202317,5.1386640158782
0,7,0.0685121714612047,3.27246432085393
0,8,0.0681526216372852,2.2280015131254
0,9,0.0677467588099044,1.59562889628139
0,10,0.0672951863485259,1.18890182189769
0,11,0.066798574666069,0.914418312694205
0,12,0.066257659925314,0.721758586323673
0,13,0.065673242620233,0.582023915455657
0,14,0.0650461860347758,0.477814396554019
0,15,0.0643774145828884,0.3982124755144
0,16,0.0636679120332667,0.336123456465757
0,17,0.0629187196224897,0.286795510803857
0,18,0.0621309340615054,0.24696116753314
0,19,0.0613057054387297,0.214321078087853
0,20,0.0604442350253536,0.187223670403037
0,21,0.0595477729872477,0.164460757593733
0,22,0.0586176160082847,0.145133863240004
0,23,0.0576551048306936,0.128564836720417
0,24,0.0566616217178266,0.114234877711067
0,25,0.0556385878441624,0.101742180305301
0,26,0.0545874606194994,0.0907720216551272
0,27,0.0535097309516598,0.0810753176634692
0,28,0.0524069204551445,0.0724530344004772
0,29,0.051280578610494,0.064744710560236
0,30,0.0501322798814274,0.057819906369162
0,31,0.0489636207954093,0.0515717625923989
0,32,0.0477762169942794,0.0459120992446895
0,33,0.0465717002609675,0.0407676503308
0,34,0.0453517155289955,0.0360771455008194
0,35,0.0441179178808255,0.0317890292333661
0,36,0.0428719695416313,0.0278596643114553
0,37,0.0416155368748075,0.0242519063450695
0,38,0.0403502873855758,0.0209339648745167
0,39,0.0390778867389595,0.0178784875050322
0,40,0.0377999957984105,0.0150618188678821
0,41,0.0365182676912477,0.0124633975574111
0,42,0.0352343449070016,0.0100652626673848
0,43,0.0339498564346361,0.0078516479216706
0,44,0.0326664149446544,0.00580864622291188
0,45,0.0313856140215276,0.00392393112685099
0,46,0.0301090254525593,0.00218652458075039
0,47,0.0288381965781263,0.000586602452014674
0,48,0.0275746477089723,-0.000884668923884897
1,0,0.0696718219160768,84.8114858798929
1,1,0.0696961292194628,-627.019614212324
1,2,0.0696718219160671,84.8114858798931
1,3,0.0695989363363937,146.822834243726
1,4,0.0694775814013422,43.0523501351501
1,5,0.0693079384114653,17.4700659123522
1,6,0.0690902606955422,8.84986730981945
1,7,0.0688248731202317,5.1386640158782
1,8,0.0685121714612014,3.27246432085396
1,9,0.0681526216372884,2.22800151312537
1,10,0.0677467588099011,1.5956288962814
1,11,0.0672951863485192,1.18890182189769
1,12,0.066798574666079,0.914418312694204
1,13,0.0662576599253174,0.72175858632368
1,14,0.0656732426202296,0.582023915455654
1,15,0.0650461860347758,0.477814396554019
1,16,0.0643774145828884,0.3982124755144
1,17,0.0636679120332667,0.336123456465757
1,18,0.0629187196224897,0.286795510803857
1,19,0.0621309340615022,0.246961167533142
1,20,0.0613057054387264,0.214321078087853
1,21,0.0604442350253602,0.187223670403035
1,22,0.0595477729872477,0.164460757593733
1,23,0.0586176160082847,0.145133863240004
1,24,0.0576551048306936,0.128564836720417
1,25,0.0566616217178301,0.114234877711067
1,26,0.0556385878441658,0.101742180305301
1,27,0.0545874606194926,0.0907720216551276
1,28,0.0535097309516597,0.0810753176634692
1,29,0.0524069204551445,0.0724530344004772
1,30,0.0512805786104939,0.064744710560236
1,31,0.0501322798814274,0.057819906369162
1,32,0.0489636207954093,0.0515717625923989
1,33,0.0477762169942794,0.0459120992446895
1,34,0.0465717002609675,0.0407676503308
1,35,0.0453517155289955,0.0360771455008194
1,36,0.0441179178808255,0.0317890292333661
1,37,0.0428719695416313,0.0278596643114553
1,38,0.0416155368748075,0.0242519063450695
1,39,0.0403502873855742,0.0209339648745132
1,40,0.0390778867389594,0.0178784875050339
1,41,0.0377999957984121,0.0150618188678839
1,42,0.0365182676912477,0.0124633975574111
1,43,0.0352343449070016,0.0100652626673848
1,44,0.0339498564346361,0.0078516479216706
1,45,0.0326664149446544,0.00580864622291188
1,46,0.0313856140215276,0.00392393112685099
1,47,0.0301090254525593,0.00218652458075039
1,48,0.0288381965781263,0.000586602452014674
2,0,0.0695989363363806,146.822834243726
2,1,0.069671821916077,84.811485879893
2,2,0.0696961292194632,-627.019614212324
2,3,0.0696718219160638,84.8114858798929
2,4,0.0695989363363939,146.822834243726
2,5,0.0694775814013458,43.0523501351501
2,6,0.0693079384114656,17.4700659123523
2,7,0.0690902606955424,8.84986730981946
2,8,0.0688248731202353,5.13866401587821
2,9,0.0685121714611949,3.27246432085393
2,10,0.0681526216372954,2.22800151312541
2,11,0.0677467588099013,1.59562889628139
2,12,0.0672951863485228,1.18890182189767
2,13,0.0667985746660726,0.914418312694212
2,14,0.0662576599253175,0.72175858632368
2,15,0.0656732426202265,0.582023915455654
2,16,0.0650461860347793,0.477814396554012
2,17,0.0643774145828919,0.3982124755144
2,18,0.0636679120332636,0.33612345646576
2,19,0.0629187196224967,0.28679551080386
2,20,0.0621309340614957,0.246961167533132
2,21,0.0613057054387264,0.214321078087858
2,22,0.0604442350253637,0.187223670403035
2,23,0.0595477729872413,0.164460757593736
2,24,0.0586176160082882,0.145133863240002
2,25,0.0576551048306972,0.128564836720416
2,26,0.0566616217178169,0.114234877711069
2,27,0.0556385878441725,0.101742180305301
2,28,0.0545874606194894,0.0907720216551273
2,29,0.0535097309516632,0.0810753176634686
2,30,0.052406920455148,0.0724530344004783
2,31,0.0512805786104941,0.0647447105602351
2,32,0.0501322798814275,0.0578199063691632
2,33,0.0489636207954095,0.051571762592398
2,34,0.0477762169942795,0.0459120992446903
2,35,0.0465717002609627,0.0407676503307991
2,36,0.0453517155289989,0.0360771455008193
2,37,0.0441179178808273,0.0317890292333652
2,38,0.0428719695416313,0.0278596643114578
2,39,0.0416155368748127,0.0242519063450726
2,40,0.0403502873855709,0.0209339648745099
2,41,0.0390778867389578,0.0178784875050356
2,42,0.0377999957984105,0.0150618188678821
2,43,0.0365182676912462,0.0124633975574127
2,44,0.0352343449070017,0.0100652626673847
2,45,0.033949856434637,0.00785164792167052
2,46,0.0326664149446537,0.00580864622291016
2,47,0.0313856140215285,0.00392393112685091
2,48,0.0301090254525593,0.00218652458075031
3,0,0.069477581401349,43.0523501351502
3,1,0.0695989363363805,146.822834243726
3,2,0.0696718219160771,84.8114858798929
3,3,0.0696961292194629,-627.019614212325
3,4,0.0696718219160669,84.8114858798932
3,5,0.0695989363363937,146.822834243726
3,6,0.0694775814013423,43.0523501351502
3,7,0.0693079384114654,17.4700659123523
3,8,0.0690902606955423,8.84986730981946
3,9,0.0688248731202351,5.13866401587822
3,10,0.0685121714611948,3.27246432085393
3,11,0.0681526216372919,2.22800151312541
3,12,0.0677467588098979,1.5956288962814
3,13,0.0672951863485227,1.18890182189767
3,14,0.0667985746660757,0.914418312694198
3,15,0.0662576599253274,0.72175858632368
3,16,0.065673242620223,0.58202391545566
3,17,0.0650461860347726,0.477814396554015
3,18,0.0643774145828918,0.3982124755144
3,19,0.0636679120332636,0.33612345646576
3,20,0.0629187196224966,0.286795510803864
3,21,0.0621309340615021,0.246961167533137
3,22,0.0613057054387197,0.214321078087854
3,23,0.0604442350253636,0.187223670403032
3,24,0.0595477729872478,0.16446075759374
3,25,0.0586176160082716,0.145133863240001
3,26,0.0576551048307071,0.128564836720419
3,27,0.0566616217178234,0.114234877711067
3,28,0.0556385878441723,0.101742180305302
3,29,0.0545874606194894,0.0907720216551288
3,30,0.0535097309516565,0.0810753176634659
3,31,0.0524069204551512,0.0724530344004801
3,32,0.051280578610494,0.0647447105602335
3,33,0.0501322798814275,0.0578199063691653
3,34,0.0489636207954094,0.0515717625923972
3,35,0.0477762169942761,0.0459120992446886
3,36,0.0465717002609659,0.0407676503308025
3,37,0.0453517155289922,0.0360771455008177
3,38,0.0441179178808306,0.0317890292333636
3,39,0.0428719695416298,0.0278596643114569
3,40,0.0416155368748142,0.0242519063450761
3,41,0.0403502873855724,0.0209339648745083
3,42,0.0390778867389594,0.0178784875050357
