z,Re_I,Im_I,abs_I
-0.243733705691057,0.000758809341381028,0.000772030990896262,0.00108250795261345
-0.231547020406504,0.00124195572295203,0.00128050495788394,0.00178385732751771
-0.219360335121951,0.00167781111185724,0.00175238690122508,0.00242608944160286
-0.207173649837398,0.00207528939562419,0.00219620629398508,0.00302161350296988
-0.194986964552846,0.00244053241165302,0.00261784954275285,0.00357901308754526
-0.182800279268293,0.00277562221095427,0.00301919972025831,0.00410117612505858
-0.17061359398374,0.0030811044829491,0.00340062390945007,0.00458883948383167
-0.158426908699187,0.00335676645966283,0.00376173870422167,0.00504168217399279
-0.146240223414634,0.00360199995652324,0.00410177192121445,0.0054588402230196
-0.134053538130081,0.00381598353474104,0.00441975121001952,0.00583917212418711
-0.121866852845528,0.00399777752677358,0.0047146130974306,0.00618140775325816
-0.109680167560976,0.00414636868479303,0.00498527121354422,0.00648423490805391
-0.0974934822764228,0.00426067786862292,0.00523066181084476,0.00674634707672255
-0.0853067969918699,0.00433953050405166,0.00544977574152157,0.00696646112660308
-0.0731201117073171,0.00438157551057911,0.00564168183878858,0.00714330301226425
-0.0609334264227642,0.00438511349286209,0.00580554451132844,0.0072755458501955
-0.0487467411382114,0.00434773420605087,0.00594063721333916,0.0073616549244701
-0.0365600558536585,0.00426548406120837,0.00604635280639753,0.00739950920912015
-0.0243733705691057,0.00413056513702974,0.00612221144919086,0.00738532608486918
-0.0121866852845528,0.0039240372754078,0.0061678664184819,0.00731031084804378
0,0.00355334542160183,0.0061831081162583,0.00713141568431949
0.0121866852845528,0.0039240372754078,0.0061678664184819,0.00731031084804378
0.0243733705691057,0.00413056513702974,0.00612221144919087,0.00738532608486919
0.0365600558536585,0.00426548406120839,0.00604635280639754,0.00739950920912017
0.0487467411382114,0.0043477342060509,0.00594063721333918,0.00736165492447013
0.0609334264227643,0.00438511349286212,0.00580554451132847,0.00727554585019554
0.0731201117073171,0.00438157551057913,0.00564168183878861,0.00714330301226428
0.0853067969918699,0.00433953050405169,0.00544977574152159,0.00696646112660311
0.0974934822764228,0.00426067786862296,0.0052306618108448,0.00674634707672261
0.109680167560976,0.00414636868479308,0.00498527121354426,0.00648423490805398
0.121866852845528,0.00399777752677363,0.00471461309743064,0.00618140775325822
0.134053538130081,0.00381598353474108,0.00441975121001956,0.00583917212418716
0.146240223414634,0.00360199995652328,0.00410177192121449,0.00545884022301966
0.158426908699187,0.00335676645966287,0.00376173870422171,0.00504168217399285
0.17061359398374,0.00308110448294914,0.00340062390945011,0.00458883948383173
0.182800279268293,0.0027756222109543,0.00301919972025834,0.00410117612505863
0.194986964552846,0.00244053241165305,0.00261784954275288,0.00357901308754529
0.207173649837398,0.00207528939562422,0.0021962062939851,0.00302161350296991
0.219360335121951,0.00167781111185727,0.0017523869012251,0.00242608944160289
0.231547020406504,0.00124195572295204,0.00128050495788395,0.00178385732751774
0.243733705691057,0.00075880934138104,0.000772030990896273,0.00108250795261347
