z,Re_I,Im_I,abs_I
-0.225443928416,0.00192104861511763,-0.000718104028844424,0.00205087814798636
-0.216050431398667,0.00257860471250546,-0.000945930616601245,0.00274663193653227
-0.206656934381333,0.00348749987457917,-0.00126116123745248,0.00370852842001277
-0.197263437364,0.00425055978939688,-0.00151283336746627,0.00451175390740197
-0.187869940346667,0.00500229172525792,-0.0017523907248238,0.00530035807818984
-0.178476443329333,0.00571153716351666,-0.00196811427674224,0.00604111997700331
-0.169082946312,0.00639116060350337,-0.00216502673846582,0.00674790890854682
-0.159689449294667,0.00703897953022036,-0.00234240424830735,0.00741849651137948
-0.150295952277333,0.00765600268050102,-0.00250072970866921,0.00805406891699218
-0.14090245526,0.00824160336483006,-0.00263985598462664,0.00865406642236742
-0.131508958242667,0.00879521145419191,-0.00275964944926771,0.00921799379511574
-0.122115461225333,0.00931598978583759,-0.0028598631742639,0.00974507481065903
-0.112721964208,0.00980303841160202,-0.00294020907990999,0.0102344707500158
-0.103328467190667,0.0102554090040445,-0.00300035311414143,0.0106852951596938
-0.0939349701733333,0.0106721527652221,-0.00303992417190873,0.0110966654277397
-0.084541473156,0.0110523443859686,-0.00305848977531986,0.0114677232322632
-0.0751479761386667,0.0113951034862661,-0.00305558244063169,0.0117976678845529
-0.0657544791213333,0.0116996101513475,-0.00303049836689303,0.0120857270383396
-0.056360982104,0.0119651173887441,-0.00298278583296744,0.0123313034774017
-0.0469674850866667,0.0121909608847308,-0.00291022559567388,0.0125335126884186
-0.0375739880693333,0.0123765667558979,-0.0028151245843544,0.0126926880954601
-0.028180491052,0.0125214576415497,-0.00268160294110564,0.0128053854218789
-0.0187869940346667,0.0126252574135316,-0.00255092286534453,0.0128803855618872
-0.00939349701733333,0.01268769468283,-0.00225793335047723,0.0128870423053511
0,0.0127086052275059,-0.00231661323644028,0.012918023986502
0.00939349701733333,0.012687933421101,-0.000842625332205806,0.0127158826649496
0.0187869940346667,0.0126257327059669,-0.0022840608849659,0.0128306687467471
0.028180491052,0.0125221651257209,-0.00219292737353807,0.0127127318032528
0.0375739880693333,0.0123774999025111,-0.0024536599706133,0.0126183577017
0.0469674850866667,0.0121921110145199,-0.00255237630871033,0.0124564118353418
0.056360982104,0.0119664736944362,-0.00265432154957169,0.0122573208968418
0.0657544791213333,0.0117011597241771,-0.00271832445213611,0.0120127609947833
0.0751479761386667,0.011396831346335,-0.00276035164964492,0.0117263509228788
0.084541473156,0.0110542335154989,-0.0027781776582247,0.0113979976186976
0.0939349701733333,0.0106741841434662,-0.00277409647004459,0.0110287722958514
0.103328467190667,0.0102575616421204,-0.00274862612299565,0.0106194404940144
0.112721964208,0.00980528938516992,-0.00270252618534694,0.0101709069265927
0.122115461225333,0.00931831426185282,-0.00263630610047315,0.00968406374091175
0.131508958242667,0.00879758270949704,-0.0025504234357196,0.0091598101089438
0.14090245526,0.00824399278267144,-0.00244524801911089,0.00859899150340926
0.150295952277333,0.00765837974089888,-0.0023210895646436,0.00800238945708766
0.159689449294667,0.00704131169129934,-0.00217813295531685,0.00737050429109611
0.169082946312,0.00639341334891145,-0.00201656315429521,0.00670389895548107
0.178476443329333,0.00571367314476637,-0.00183596298596212,0.00600140157721906
0.187869940346667,0.00500427243413995,-0.00163704213782402,0.00526523024720709
0.197263437364,0.00425233755361868,-0.0014151012436625,0.00448161647173549
0.206656934381333,0.0034890409986324,-0.00118117437316958,0.00368355534639706
0.216050431398667,0.00257980165424584,-0.000886906867050443,0.00272799933395717
0.225443928416,0.00192200034537327,-0.000674223169852782,0.00203682650473262
