s,Re_I,Im_I,abs_I
-0.225443928416,0.00260804259668401,-0.000462889547103341,0.00264880216681726
-0.216050431398667,0.00349854030630952,-0.000601764470405743,0.00354991616136424
-0.206656934381333,0.00472671989480084,-0.000793589068433135,0.00479287644045229
-0.197263437364,0.00575576602207812,-0.000940494678062195,0.00583209848514
-0.187869940346667,0.00676737569710069,-0.00107597469651854,0.0068523788112784
-0.178476443329333,0.00771985659875532,-0.00119258247311077,0.00781143001380138
-0.169082946312,0.00863064427709186,-0.00129365444128964,0.00872705920978922
-0.159689449294667,0.00949698120721893,-0.00137881344495259,0.00959655034719516
-0.150295952277333,0.0103203626653045,-0.001448445295488,0.0104215104143993
-0.14090245526,0.0111000993655361,-0.00150252254071424,0.0112013293813783
-0.131508958242667,0.0118355778570319,-0.00154101489644982,0.0119354777919002
-0.122115461225333,0.0125258355629001,-0.00156380594545403,0.012623075916109
-0.112721964208,0.0131698350684402,-0.00157073225365054,0.0132631729063063
-0.103328467190667,0.0137664862563122,-0.00156157702903741,0.01385477053808
-0.0939349701733333,0.0143147122114196,-0.00153604561282041,0.014396889310557
-0.084541473156,0.0148134833042727,-0.00149378963410009,0.0148886095750044
-0.0751479761386667,0.0152618484176527,-0.00143418819422738,0.0153290871515518
-0.0657544791213333,0.0156589575569065,-0.00135686749808046,0.0157176347195227
-0.056360982104,0.0160040859016361,-0.00125951739100222,0.0160535712414772
-0.0469674850866667,0.0162966401769699,-0.00114467503865339,0.0163367916679422
-0.0375739880693333,0.0165362221947086,-0.000995085015120299,0.016566135296444
-0.028180491052,0.0167225024412137,-0.00085543687388081,0.0167443680126063
-0.0187869940346667,0.0168558037962734,-0.000544867296117243,0.0168646079702091
-0.00939349701733333,0.0169353572101451,-0.000622667052576871,0.0169468002317127
0,0.0169671264355317,0.00103363144385083,0.0169985815126156
0.00939349701733333,0.0169353572101451,-0.00062266705257687,0.0169468002317127
0.0187869940346667,0.0168558037962733,-0.00054486729611725,0.0168646079702091
0.028180491052,0.0167225024412137,-0.00085543687388081,0.0167443680126063
0.0375739880693334,0.0165362221947085,-0.000995085015120315,0.016566135296444
0.0469674850866667,0.0162966401769699,-0.0011446750386534,0.0163367916679422
0.056360982104,0.016004085901636,-0.00125951739100223,0.0160535712414772
0.0657544791213334,0.0156589575569064,-0.00135686749808046,0.0157176347195227
0.0751479761386667,0.0152618484176527,-0.00143418819422739,0.0153290871515518
0.084541473156,0.0148134833042727,-0.00149378963410009,0.0148886095750043
0.0939349701733334,0.0143147122114196,-0.00153604561282042,0.014396889310557
0.103328467190667,0.0137664862563122,-0.00156157702903741,0.01385477053808
0.112721964208,0.0131698350684402,-0.00157073225365056,0.0132631729063062
0.122115461225333,0.0125258355629001,-0.00156380594545405,0.0126230759161089
0.131508958242667,0.0118355778570319,-0.00154101489644984,0.0119354777919002
0.14090245526,0.0111000993655361,-0.00150252254071427,0.0112013293813783
0.150295952277333,0.0103203626653045,-0.00144844529548803,0.0104215104143993
0.159689449294667,0.00949698120721889,-0.00137881344495263,0.00959655034719513
0.169082946312,0.00863064427709184,-0.00129365444128967,0.00872705920978921
0.178476443329333,0.00771985659875531,-0.00119258247311082,0.00781143001380138
0.187869940346667,0.00676737569710068,-0.00107597469651857,0.0068523788112784
0.197263437364,0.00575576602207811,-0.000940494678062222,0.00583209848514
0.206656934381333,0.00472671989480084,-0.000793589068433148,0.0047928764404523
0.216050431398667,0.00349854030630951,-0.000601764470405755,0.00354991616136423
0.225443928416,0.002608042596684,-0.000462889547103343,0.00264880216681725
