m,n,Re_Z,Im_Z
0,0,0.0540369630736181,-628.182178165419
0,1,0.0775150714528227,85.3932545256928
0,2,0.0695989363363772,146.822834243726
0,3,0.0694775814013457,43.05235013515
0,4,0.0693079384114687,17.4700659123522
0,5,0.0690902606955422,8.84986730981945
0,6,0.0688248731202351,5.13866401587817
0,7,0.0685121714612013,3.27246432085395
0,8,0.0681526216372951,2.22800151312539
0,9,0.0677467588098912,1.59562889628141
0,10,0.0672951863485226,1.18890182189767
0,11,0.0667985746660823,0.914418312694204
0,12,0.0662576599253174,0.721758586323673
0,13,0.0656732426202197,0.58202391545565
0,14,0.0650461860347826,0.477814396554022
0,15,0.0643774145828917,0.398212475514393
0,16,0.0636679120332601,0.336123456465753
0,17,0.0629187196224931,0.28679551080387
0,18,0.0621309340614987,0.246961167533132
0,19,0.0613057054387298,0.214321078087861
0,20,0.060444235025357,0.18722367040303
0,21,0.0595477729872511,0.164460757593738
0,22,0.0586176160082715,0.145133863240007
0,23,0.0576551048307103,0.128564836720416
0,24,0.0426849336886867,0.0881044900265989
0,25,0.0284440307705136,0.0582290150306459
0,26,0.0285337547226298,0.0587242317367118
0,27,0.0285990942117362,0.0585641999695536
0,28,0.0286399803904444,0.0578560376881369
0,29,0.0286563846669786,0.0566999917921339
0,30,0.0286483187201265,0.0551869846654597
0,31,0.028615834431505,0.053397393174607
0,32,0.0285590237357082,0.0514007489025805
0,33,0.0284780183884041,0.0492560790586463
0,34,0.028372989653341,0.0470126551761643
0,35,0.0282441479087019,0.0447109686535933
0,36,0.028091742174076,0.0423838007225047
0,37,0.0279160595588941,0.040057295715579
0,38,0.0277174246339596,0.0377519793331675
0,39,0.0274961987273812,0.0354836882889443
0,40,0.027252779146601,0.0332643953473989
0,41,0.0269875983285146,0.031102925711663
0,42,0.0267011229194678,0.0290055683228995
0,43,0.0263938527874325,0.0269765900659358
0,44,0.0260663199686879,0.0250186630983957
0,45,0.0257190875514308,0.0231332162673948
0,46,0.0253527484988649,0.021320721395726
0,47,0.0249679244146473,0.0195809244933339
0,48,0.0245652642534067,0.0179130309458032
1,0,0.0775150714528227,85.3932545256929
1,1,0.0540369630736183,-628.182178165419
1,2,0.0775150714528162,85.393254525693
1,3,0.069598936336384,146.822834243726
1,4,0.069477581401349,43.05235013515
1,5,0.0693079384114622,17.4700659123522
1,6,0.0690902606955423,8.84986730981941
1,7,0.0688248731202352,5.1386640158782
1,8,0.0685121714611882,3.27246432085396
1,9,0.0681526216373119,2.2280015131254
1,10,0.0677467588098913,1.5956288962814
1,11,0.0672951863485161,1.18890182189768
1,12,0.0667985746660825,0.914418312694198
1,13,0.0662576599253176,0.721758586323673
1,14,0.0656732426202232,0.582023915455647
1,15,0.0650461860347759,0.477814396554029
1,16,0.0643774145828918,0.398212475514407
1,17,0.0636679120332668,0.336123456465747
1,18,0.0629187196224965,0.286795510803864
1,19,0.062130934061499,0.246961167533132
1,20,0.0613057054387299,0.21432107808786
1,21,0.0604442350253569,0.187223670403032
1,22,0.0595477729872446,0.164460757593736
1,23,0.0586176160082749,0.145133863240003
1,24,0.0434243989020316,0.0992148071815338
1,25,0.0289370313688301,0.0655308370745917
1,26,0.0290229328330417,0.0660413569902983
1,27,0.029084428305263,0.065773317712734
1,28,0.0291214518016608,0.0648622839453643
1,29,0.029133977358574,0.063434004010828
1,30,0.0291220190461861,0.0616013083134688
1,31,0.0290856309004828,0.0594627182901941
1,32,0.0290249067738306,0.0571022989922704
1,33,0.0289399801042837,0.0545903449210655
1,34,0.028831023604445,0.051984567668875
1,35,0.0286982488705744,0.0493315356534095
1,36,0.0285419059128408,0.0466681897056991
1,37,0.0283622826080121,0.044023318617556
1,38,0.0281597040756656,0.0414189250681964
1,39,0.0279345319795974,0.0388714458887802
1,40,0.0276871637560189,0.036392813581244
1,41,0.0274180317703472,0.0339913607712852
1,42,0.0271276024044852,0.0316725780231315
1,43,0.0268163750770723,0.0294397399863281
1,44,0.026484881198437,0.0272944165871976
1,45,0.0261336830632049,0.0252368859598292
1,46,0.0257633726829002,0.0232664647669166
1,47,0.0253745705611563,0.0213817699898881
1,48,0.0249679244146457,0.0195809244933339
2,0,0.0695989363363839,146.822834243726
2,1,0.0775150714528162,85.3932545256931
2,2,0.0540369630736252,-628.182178165421
2,3,0.0775150714528129,85.3932545256928
2,4,0.0695989363363838,146.822834243726
2,5,0.0694775814013524,43.0523501351503
2,6,0.0693079384114656,17.4700659123523
2,7,0.0690902606955423,8.84986730981952
2,8,0.0688248731202318,5.13866401587817
2,9,0.0685121714611882,3.27246432085396
2,10,0.0681526216372986,2.2280015131254
2,11,0.0677467588099013,1.59562889628142
2,12,0.0672951863485194,1.18890182189768
2,13,0.0667985746660759,0.914418312694218
2,14,0.0662576599253242,0.721758586323687
2,15,0.0656732426202264,0.582023915455647
2,16,0.0650461860347793,0.477814396554005
2,17,0.0643774145828885,0.398212475514407
2,18,0.0636679120332602,0.33612345646576
2,19,0.0629187196225,0.286795510803864
2,20,0.0621309340614957,0.246961167533138
2,21,0.0613057054387297,0.214321078087853
2,22,0.0604442350253603,0.187223670403034
2,23,0.0595477729872512,0.164460757593738
2,24,0.044140371562015,0.11208497493088
2,25,0.029414371040675,0.0739765754901983
2,26,0.0294962800634732,0.0744944067938791
2,27,0.0295537656402833,0.0740791454369396
2,28,0.0295867650731118,0.0729042046679907
2,29,0.0295952554473286,0.071128860606253
2,30,0.0295792536434109,0.0688943264065913
2,31,0.0295388162673721,0.066322226323137
2,32,0.0294740395006609,0.0635147600545995
2,33,0.0293850588697719,0.0605559506510504
2,34,0.0292720489358175,0.0575135006922878
2,35,0.0291352229053468,0.0544409109852911
2,36,0.0289748321630185,0.051379627887731
2,37,0.0287911657273021,0.0483610738178069
2,38,0.0285845496304835,0.045408480789472
2,39,0.0283553462246598,0.0425384920895149
2,40,0.0281039534150371,0.0397625266626322
2,41,0.0278308038224404,0.037087918482055
2,42,0.0275363638772425,0.0345188526552602
2,43,0.0272211328464017,0.0320571240028658
2,44,0.0268856417961711,0.0297027443957081
2,45,0.0265304524928808,0.0274544236812515
2,46,0.0261561562440344,0.0253099465456329
2,47,0.0257633726828969,0.0232664647669149
2,48,0.0253527484988682,0.021320721395726
3,0,0.0694775814013424,43.0523501351501
3,1,0.0695989363363807,146.822834243725
3,2,0.0775150714528196,85.3932545256928
3,3,0.054036963073625,-628.182178165419
3,4,0.0775150714528094,85.3932545256929
3,5,0.0695989363363838,146.822834243726
3,6,0.0694775814013491,43.0523501351501
3,7,0.0693079384114655,17.4700659123522
3,8,0.0690902606955456,8.84986730981955
3,9,0.0688248731202352,5.13866401587817
3,10,0.0685121714611949,3.27246432085395
3,11,0.0681526216372886,2.22800151312541
3,12,0.0677467588099013,1.59562889628139
3,13,0.0672951863485261,1.18890182189768
3,14,0.0667985746660692,0.914418312694192
3,15,0.0662576599253241,0.721758586323686
3,16,0.0656732426202264,0.582023915455664
3,17,0.0650461860347759,0.477814396554012
3,18,0.0643774145828918,0.3982124755144
3,19,0.0636679120332637,0.33612345646576
3,20,0.0629187196224967,0.286795510803864
3,21,0.0621309340614955,0.246961167533135
3,22,0.0613057054387297,0.214321078087855
3,23,0.060444235025357,0.187223670403029
3,24,0.044831822450167,0.127127856108807
3,25,0.0298753634345508,0.0838311851709631
3,26,0.0299531147235384,0.0843430394199605
3,27,0.0300064289313302,0.0837261739580283
3,28,0.0300352470599537,0.0822049921062875
3,29,0.0300395496581582,0.0799833384695967
3,30,0.0300193568295375,0.0772395364445108
3,31,0.0299747281609464,0.0741248310430614
3,32,0.0299057625705366,0.0707641432339974
3,33,0.0298125980762991,0.0672582288713438
3,34,0.0296954114857931,0.063686555783706
3,35,0.0295544180074159,0.0601104194554644
3,36,0.0293898707843414,0.0565759889505788
3,37,0.0292020603524204,0.0531171046051523
3,38,0.0289913140230498,0.049757740713094
3,39,0.0287579951924898,0.04651410688319
3,40,0.0285025025794462,0.0433963986379225
3,41,0.0282252693925641,0.0404102280555903
3,42,0.0279267624296662,0.0375577743835948
3,43,0.0276074811110888,0.0348386967152928
3,44,0.027267956449099,0.0322508489476016
3,45,0.026908749955914,0.0297908332760781
3,46,0.0265304524928742,0.0274544236812498
3,47,0.0261336830632116,0.0252368859598308
3,48,0.0257190875514275,0.0231332162673948
4,0,0.0693079384114653,17.4700659123522
4,1,0.0694775814013524,43.0523501351499
4,2,0.0695989363363738,146.822834243726
4,3,0.0775150714528193,85.3932545256931
4,4,0.0540369630736314,-628.18217816542
4,5,0.0775150714528092,85.3932545256926
4,6,0.0695989363363803,146.822834243726
4,7,0.0694775814013488,43.0523501351503
4,8,0.0693079384114653,17.4700659123523
4,9,0.0690902606955422,8.84986730981951
4,10,0.068824873120235,5.13866401587817
4,11,0.0685121714612014,3.27246432085393
4,12,0.0681526216372851,2.22800151312541
4,13,0.0677467588099012,1.59562889628139
4,14,0.0672951863485259,1.1889018218977
4,15,0.0667985746660689,0.914418312694198
4,16,0.066257659925324,0.721758586323673
4,17,0.0656732426202196,0.582023915455664
4,18,0.0650461860347857,0.477814396554009
4,19,0.0643774145828852,0.398212475514397
4,20,0.0636679120332602,0.336123456465753
4,21,0.062918719622503,0.28679551080387
4,22,0.0621309340614954,0.24696116753313
4,23,0.0613057054387262,0.214321078087863
4,24,0.0454977539732002,0.144884541863496
4,25,0.0303193432866614,0.0954407136836555
4,26,0.0303927765379595,0.0959250105329236
4,27,0.0304417626376984,0.0950302483214274
4,28,0.0304662466934251,0.0930504579188292
4,29,0.030466213123335,0.0902494293158136
4,30,0.0304416856604311,0.0868544743194718
4,31,0.0303927272771206,0.0830550774020023
4,32,0.0303194400307943,0.0790047235638509
4,33,0.0302219648303852,0.0748245322680695
4,34,0.0301004811248523,0.070607699769426
4,35,0.0299552065140111,0.066424085117027
4,36,0.0297863962829556,0.0623245384254463
4,37,0.0295943428608759,0.0583447606920725
4,38,0.0293793752057217,0.0545086123407577
4,39,0.0291418581162056,0.0508308669375343
4,40,0.0288821914724192,0.0473194509687742
4,41,0.028600809407383,0.0439772317022957
4,42,0.028298179410822,0.0408034216687919
4,43,0.0279748013676876,0.0377946663484909
4,44,0.0276312065335567,0.0349458753150181
4,45,0.027267956449099,0.0322508489476041
4,46,0.0268856417961777,0.0297027443957081
4,47,0.0264848811984304,0.0272944165871993
4,48,0.0260663199686912,0.0250186630983957
5,0,0.0690902606955422,8.84986730981941
5,1,0.0693079384114622,17.4700659123523
5,2,0.0694775814013557,43.0523501351502
5,3,0.0695989363363838,146.822834243726
5,4,0.0775150714528059,85.3932545256928
5,5,0.0540369630736247,-628.182178165419
5,6,0.0775150714528193,85.3932545256926
5,7,0.0695989363363803,146.822834243726
5,8,0.0694775814013488,43.0523501351503
5,9,0.0693079384114654,17.4700659123523
5,10,0.0690902606955422,8.84986730981948
5,11,0.0688248731202351,5.13866401587818
5,12,0.0685121714611981,3.27246432085396
